False,https://m.forebet.com/images/fc/tz.png,Simba - Mbeya City,No,-,False,
False,https://m.forebet.com/images/fc/ml.png,AS Bakaridjan - AS Black Stars,Yes,-,False,
False,https://m.forebet.com/images/fc/494.png,Slovenia U21 - Andorra U21,No,-,False,2 - 0
False,https://m.forebet.com/images/fc/494.png,Sweden U21 - Italy U21,Yes,-,False,1 - 1
False,https://m.forebet.com/images/fc/494.png,Ukraine U21 - France U21,Yes,-,False,2 - 3
False,https://m.forebet.com/images/fc/494.png,Ukraine U21 - France U21,Yes,-,False,2 - 3
False,https://m.forebet.com/images/fc/se.png,Lindome GIF - Qviding FIF,Yes,1.57,False,0 - 0
False,https://m.forebet.com/images/fc/285.png,Lesotho - Ivory Coast,No,1.50,False,0 - 0
False,https://m.forebet.com/images/fc/ml.png,AS Police Bamako - Olympique Messira,No,-,False,
False,https://m.forebet.com/images/fc/de.png,FC BW Friesdorf - FC Hennef 05,Yes,-,False,
False,https://m.forebet.com/images/fc/nl.png,DVS 33 - USV Hercules,Yes,-,False,
False,https://m.forebet.com/images/fc/nl.png,Gemert - GVVV,No,-,False,
False,https://m.forebet.com/images/fc/nl.png,HSC '21 - Sparta Nijkerk,Yes,-,False,
False,https://m.forebet.com/images/fc/br.png,Avenida/RS - SC São Paulo/RS,Yes,-,False,
False,https://m.forebet.com/images/fc/br.png,Palmeiras U20 - Taubaté U20,Yes,-,False,
False,https://m.forebet.com/images/fc/253.png,Portugal - Czech Republic,No,1.73,False,
False,https://m.forebet.com/images/fc/253.png,Switzerland - Spain,Yes,1.83,False,
False,https://m.forebet.com/images/fc/253.png,Norway - Slovenia,No,1.53,False,
False,https://m.forebet.com/images/fc/253.png,Sweden - Serbia,No,1.80,False,
False,https://m.forebet.com/images/fc/253.png,Kosovo - N. Ireland,No,1.67,False,
False,https://m.forebet.com/images/fc/253.png,Greece - Cyprus,No,1.36,False,
False,https://m.forebet.com/images/fc/253.png,Gibraltar - Bulgaria,Yes,2.38,False,
False,https://m.forebet.com/images/fc/253.png,North Macedonia - Georgia,Yes,2.10,False,
False,https://m.forebet.com/images/fc/253.png,Malta - Estonia,Yes,2.20,False,
False,https://m.forebet.com/images/fc/285.png,Morocco - South Africa,No,1.50,False,
False,https://m.forebet.com/images/fc/ml.png,Cercle Olympique - CS Duguwolofila,No,-,False,
False,https://m.forebet.com/images/fc/644.png,Dominica - Saint Lucia,Yes,1.80,False,
False,https://m.forebet.com/images/fc/is.png,UMF Grindavik - Fjölnir,Yes,-,False,
False,https://m.forebet.com/images/fc/is.png,UMF Selfoss - Fylkir FC,Yes,-,False,
False,https://m.forebet.com/images/fc/is.png,KV - Afturelding,Yes,-,False,
False,https://m.forebet.com/images/fc/is.png,IR Reykjavik - Reynir Sandgerdi,Yes,-,False,
False,https://m.forebet.com/images/fc/is.png,UMF Njardvik - Haukar,Yes,-,False,
False,https://m.forebet.com/images/fc/is.png,Trottur Reykjavik - Vikingur Olafsvik,Yes,-,False,
False,https://m.forebet.com/images/fc/is.png,IF Hottur - Fjardabyggd/Leiknir,No,-,False,
False,https://m.forebet.com/images/fc/is.png,KF Fjallabyggd - IF Magni,Yes,-,False,
